GeneName	RMS.FPNormalsStatus	RMS.FNNormalsStatus	EWSNormalsStatus	ASPSNormalsStatus	DSRCTNormalsStatus	HBLNormalsStatus	MLNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	NB.UnknownNormalsStatus	OSNormalsStatus	SSNormalsStatus	TeratomaNormalsStatus	UDSNormalsStatus	YSTNormalsStatus	WTNormalsStatus	CCSKNormalsStatus	RowSum
FOXM1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	11
SOX11	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	11
MYBL2	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	8
HMGA2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	5
ALX4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4
SIX3	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	4
IRX1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	4
ETV4	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	4
HMX1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	4
PAX7	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
ISL1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
DLX5	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3
PHOX2B	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
TLX2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
HOXC11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
HOXD11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
FEV	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
PHOX2A	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
INSM2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
SHOX2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	3
FOXC2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3
DLX3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
SALL4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
DLX4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
MYF5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MYOG	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TWIST1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2
HOXC13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
HOXC12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2
MYOD1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FOXJ1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2
LMX1B	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
POU4F2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
POU4F1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GBX2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2
SP7	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2
HOXB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
ALX1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2
ZNF730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
HOXC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
PAX9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
CREB3L3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
PAX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
POU4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PBX4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DBX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GLI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DLX2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ONECUT2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CTCFL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
RUNX2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
BCL11B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FEZF1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HOXD1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
HOXD13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RHOXF2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TFAP2A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
IRF4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
FOXN4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
